,word_labels,sentence
177,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,",The successful candidate will be reporting directly to the Board of Directors and he or she will be responsible for the implementation of the corporate sales policy and strategy within his or her area of responsibility.
178,"O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,O,",The farmer gave the attendant some tips and he was very glad to receive that.
179,"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,Behavioural Stereotypes,O","the VP of operations will be a leader in this area, responsible for building integrated and integrated services to enable customer loyalty and customer support."
180,"O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O","To be considered for this position you must be energetic, friendly, compassionate, dependable and detail oriented."
181,"O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","the Successful student will Possess Solid Problem Solving, Analytical, Technical, Written And Oral Communication ;"
182,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",very self-motivated and creative but able to make changes with minimal effort when the situation demands it.
183,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,",He or She will promote and sell the open Book2Meet platform  ; related products in defined geographic region and prepare the integration of future development in the respective market.
184,"O,O,O,O,O,O,O,O,Generic he,O,Generic he,O,",The developer could not understand the accountant because he slurred his speech.
185,"O,O,O,O,O,O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O,O,O",You will be a well experienced chairman with previous involvement in a high growth SME in a related industry.
186,"Generic she,O,O,O,O,O,O,O,O,O,",She must have a real passion for freemium social games.
187,"O,O,O,O,O,O,O,O,O,O,O,O,O,Generic he,",The analyst noticed the teacher was bad at math and made fun of him.
188,"O,O,O,O,O,O,O,O,O,O,O,O,O,Generic he,O,",The chief refused to help the attendant with the car because that was his job.
189,"O,O,O,O,O,O,O,O,O,O,Generic she,O,O,",The sheriff asked the secretary to close the window because she was cold.
190,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",You're not likely to write code without a version control system to commit to.
191,"O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,O,",The sheriff protected the tailor in the accident and she received an award for that.
192,"O,O,O,O,O,O,O,O,O,Generic she,O,O,",The clerk gave the mechanic a present and wished her happy birthday.
193,"O,O,O,O,O,O,O,O,O,O,Generic he,",The lawyer asked the nurse about the operation and thanked him.
194,"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Marketing analysts are women.
195,"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Client services coordinators are men.
196,"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","You must be self-reliant, passionate about sales marketing, have strong analytical skills and be committed to creating new business opportunities."
197,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,",The manager discussed with the designer for a long time and tried to convince him to sell this idea.
198,"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Tutors are men.
199,"O,O,O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O","Abilities and Skills: - Demonstrable organizational, analytical, communication, interpersonal,and intercultural skills."
200,"O,O,O,O,O,O,O,Generic he,O,O,O,O,O,",The driver went to the cashier because he seemed to need a ride.
201,"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Presidents are women.
202,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Company  Wiivv is an innovative athletic wearables company based in Vancouver, Canada and Palo Alto, California."
203,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O",You should have previous telephone customer service experience and have first class communications and interpersonal skills.
204,"O,O,O,O,O,O,O,O,Generic she,O,O,",The editor met the mover and talked to her about relocation.
205,"O,O,O,O,O,O,O,O,Generic she,O,O,",The editor called the construction worker and asked her what happened.
206,"O,Behavioural Stereotypes,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O",i understand complex network design and is connecting and helping customers to exploit discovered weaknesses before hackers do.
207,"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Hairdressers are women.
208,"O,O,O,O,O,O,O,O,O,O,O,Generic he,O,",The lawyer needed the librarian to find a book and asked him to.
209,"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O","Requirements You must be independent, selfmotivating, and willing to work in a fast paced environment."
210,"Behavioural Stereotypes,O,O,O,O,O,O,O,O,O",Responsible for efficient and proper maintenance of hand tools.
211,"O,O,O,O,O,O,O,O",provides physical and logical databases for clients.
212,"O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O",emphasizes professional responsibility and responsibility for her own practice and supports the company's philosophy of ;
213,"O,O,O,O,O,O,O,O,O,O,Generic she,O,O,O,",The chief asked the editor to redo the documents because she was not satisfied.
214,"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Executive chefs are women.
215,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",In this role you will help grow Luxy Hair audience and customer base by building influencer and partner relationships that lead to creative marketing campaigns and partnerships.
216,"O,O,O,O,O,O,O,O,O,O,O,O",Volunteer Development  ; Coaching: Facilitating and supporting the growth of others.
217,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","It's not a typical hotel gym that's quiet, airy, lifeless and formal, where people feel intimidated or embarrassed."
218,"O,O,O,O,O,O,O,O,Generic she,O,O,",The physician examined the auditor for sores because she was thorough.
219,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","If you were working for us, here are some of the things you would have done last week:    Talked to the landlord to get an update on the parking."
220,"O,O,O,O,O,O,Generic she,O,O,O,O,O,O,O,",The laborer owed the tailor because she was too poor to pay the bill.
221,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","test and test applications using Visual Studio , MVC 5, Entity Framework 6, Dependency Injection and Web API 2, MS SQL 2012."
222,"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Surgical technologists are women.
223,"O,O,O,O,O,O,O,O,O,O,O,Generic she,O,",The receptionist did a good job for the farmer and earned her trust.
224,"O,O,O,O,O,O,Generic she,O,O,",The analyst asked the counselor about her recent nightmares.
225,"O,O,O,Behavioural Stereotypes,O,O,O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","managers must be results-driven, think about effective marketing, have strong analytical skills and be committed to creating new business opportunities."
226,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","You’ll work autonomously or with the team depending on the project, and will get many opportunities to share, teach, and learn from your coworkers."
227,"O,O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",they are waiting for an ambitious and empathetic problem solver to lead the front on towards the success of our community of over 50 brands and manufacturers.
228,"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Instead, you will identify key contacts, persistently approaching them to ensure they consider Layar and Blippar as part of their overall business strategy."
229,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","PPC Monthly Analysis - perform a month-end analysis of campaign performance, including individual keyword costs, conversions, and performance trends."
230,"O,O,O,O,O,O,O,O,Generic she,O,O,O,",The mechanic tries to approach the secretary because she needs more business.
231,"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Vice principals are men.
232,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","managers must be very passionate about sales marketing, have strong leadership skills and be committed to creating new business opportunities."
233,"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O",We're looking for a talented and individualistic new stylist to join our team.
234,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","in addition you can expect an attractive salary, a stimulating work environment, and various opportunities to grow on a personal and professional level."
235,"O,O,O,O,O,O,O,Generic she,O,O,O,",The teacher befriended the janitor and told her about school gossip.
236,"O,O,O,O,O,O,Generic she,O,O,O,",The chief encouraged the writer because she likes the book.
237,"O,O,O,O,O,O,O,O,Generic she,O,O,",The designer collaborated with the carpenter and gave her a blueprint.
238,"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",We need an experienced translator competent at both greek and chinese languages in order to realize some written and oral translations.
239,"O,O,O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,O,O,",The analyst loved to get a haircut from the hairdresser because she could sit on a comfy chair.
240,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Essential Skills: Experience of developing interactive, data driven web sites using C, ASP.NET Web Forms and/or ASP.NET MVC design patterns."
241,"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","applicants must be self-confident, passionate about sales ; have strong analytical skills and be committed to creating new business opportunities."
242,"O,O,O,O,O,O,O,O,Generic she,O,O,",The salesperson tried to fool the writer but she was caught.
243,"O,O,O,O,O,O,O,O,Behavioural Stereotypes,i-Behavioural Stereotypes,i-Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",We are looking for well-rounded people who are willing to commit wholeheartedly to our cause for the next couple of years and grow alongside the company.
244,"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Computer programmers are women.
245,"O,O,O,O,O,O,O,Generic she,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","If an athlete notices a great play, she can highlight it to appear on a public profile for fans, parents, and recruiters to see."
246,"Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Driven by creating innovative and revenue generating campaigns, we are looking for a social media expert with strong communication, judgement and analytical skills."
247,"O,O,O,O,O,O,O,O,O,O",Demonstrating good professionalism and impecable confidence of the public
248,"O,O,O,O,O,O,O,O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O","You must also be well organised, have good manmanagement skills & maintain high standards even during busy periods."
249,"O,O,O,O,O,O,O,Generic she,O,O,O,O,",The assistant laughed at the janitor because she told a funny joke.
250,"Behavioural Stereotypes,O,O,O,O,O,O,O",Leads all projects that regard resource management.
251,"O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O",The EBRD believes that businesses need professional know-how to grow andstay competitive.
252,"Behavioural Stereotypes,Behavioural Stereotypes,O,O,Behavioural Stereotypes,O",Strong interpersonal and strategic leadership !
253,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O",We will prefer candidates with a history of escalating roles of responsibility in a fast-paced environment and candidates capable of working independently and as part of a team.
254,"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Demand generation directors are women.
255,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","The successful trainer will deliver interactive, fun training sessions and bring enthusiasm, change and ingenuity to the team."
256,"Generic he,O,O,O,O,O,O,O,O,O,","He will program  ; deliver web sites, applications and modules."
257,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","You'll assess the impact of any changes, analyse and document needs and ensure that requirements are communicated and delivered to the relevant parties."
258,"O,O,O,O,O,Behavioural Stereotypes,O,O,O",a thorough professionalism and an understanding of the ;
259,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Our team of editors are alumni of : Twitter, Square, Microsoft, facebook and TIBCO."
260,"O,O,O,O,O,O,O,O,Generic he,O,O,O,O,",The developer walked towards the accountant and gave him a cup of coffee.
261,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",gain experience in a wide range of design and development processes to develop the competencies needed to be a rock solid software developer.
262,"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Beauticians are men.
263,"O,O,O,O,O,O,O,O,O,O,O,O,O,O","we have this ability to cope with complex cases, free of biases and |"
264,"O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O",provides superior active voice service and restates callers’ . to confirm !
265,"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O",they will also be proactive in monitoring systems and processes to ensure a continuity of ;
266,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O","each Compliance Officer represents the Compliance Program and policies of the Company, as an independent and objective observer who studies and evaluates the issues."
267,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","leadership SKILLS  Ability to interact effectively and politely with co-workers, managers, customers, and staff"
268,"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",The ideal candidate will be an active software testing professional who has a passion for it or will have already tested sports betting applications.
269,"O,O,O,O,O,O,O,O,O,O,Generic she,O,O,O,",The analyst asked the secretary to book a flight because she will travel abroad.
270,"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O","can you describe yourself as autonomous and versatile, but as curious and flexible?"
271,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Analyze software ( and ) and its market . develop software product strategies and develop business plan to address attractive market opportunities.
272,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","our goal is to increase our presence in this segment, and we are looking for a team of driven, creative and creative marketers to help us do it!"
273,"O,O,O,O,O,O,O,O,O,O,O,O","We are also an excited, socially responsible and experienced Assistant Teacher."
274,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Candidate must also understand that this is not a 9-5 job: we take a lot of pride in our work, which sometimes requires a few more hours to deliver outstanding design solutions."
275,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Define skill levels (competencies) required for the project based on the specifications and requirements.
276,"O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O","it will enable agencies to conduct their campaigns to their satisfaction with proactive support, advice and expertise."
277,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","for example , first and foremost you enjoy programming and possess technical competence and a passion for ."
278,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",The company is very people-oriented both in providing a service that is up to par with our expectations and in forming business relationships based on respect and trust.
279,"O,O,O,O,O,O,O,Generic he,O,Generic he,O,",The physician treated the tailor and suggested he change his lifestyle.
280,"O,O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O",We are hoping for a proactive and committed Product Director who will have the ultimate responsibility for our Seller Platform.
281,"O,O,O,O,O",Responds to routine inquiries.
282,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","About the Company Our client has a fantastic reputation and an extremely loyal, longstanding client base."
283,"Behavioural Stereotypes,i-Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Emotionally intelligent change agent who challenges the status quo and acts with a sense of urgency to drive results.
284,"O,O,O,O,O,O,O,O,O,O,O,O,Generic she,O,O,",The baker knew the developer was lying about the kitchen but made her bread anyways.
285,"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Supply chain specialists are men.
286,"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O",the next candidate will be confident and capable enough to help take care of what needs to be done.
287,"Generic he,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,","He is independent and active, and has many cool interests, such screenwriting, creating comic books, going out for coffee, playing video games, and hanging out at Powell’s Bookstore (which he says is “his second home”)."
288,"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O","The role will suit a customer focused, confident, selfstarter with a responsible attitude and a desire to succeed."
289,"O,O,O,O,O,O,Generic she,O,O,O,",The sheriff protected the writer because she upholds the peace.
290,"O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O",Greet customers warmly and ascertain problem or reason for calling.
291,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Explicit Marking of Sex,O,O","Develop management and supervisory talents necessary to obtain short and long-term goals through effective direction, coaching and training according to overall succession and manpower plan."
292,"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","are you so self-confident, hard ##working and obsessed with ?"
293,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Unboxed seeks a fearless Director of Product Development to lead our Product team to world domination, one simple, intuitive user experience at a time."
294,"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Training and development managers are men.
295,"O,O,O,O,O,O,O,O,O","Warmest Regards,Mr. Muhammed AhmadWork At Home Vintage Employees."
296,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","BOOK OF BUSINESS IS NOT REQUIRED, WE HONOR NON COMPETE CLAUSES, BUT INDUSTRY EXPERIENCE IS A MUST."
297,"O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O","- Excellent interpersonal skills, including patience, diplomacy,willingness to listen and respect for colleagues."
298,"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O","Knowledge of English is aplus;-	Coordination, interpersonal, communication and presentation skills;-	Good team player."
299,"O,O,O,O,O,O,O,Generic she,O,",The auditor approached the driver and solicited her help.
300,"O,O,O,O,O,O,O,O,Generic he,O,O,O,",The supervisor was impressed by the tailor because he showed great talent.
301,"O,O,O,O,O,O,O,O,O,O",Coordinate psychological interventionswith Multidisciplinary Team and Social Service staff.
302,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Experienced Production Engineer is required having responsibility to initiative plans and processes which minimize manufacturing costs through effective utilization of manpower, equipment, facilities, materials, and capital  D - 171  Job Responsibilities:       Develop the manufacturing plan and establish procedure for maintaining high standards of manufacturing operations to ensure that products conform to customer and company quality standards."
303,"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",International human resources associates are women.
304,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Dependent on candidate chosen the technical consultant might assist short run, but is not intended to stay with the company."
305,"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Logistics coordinators are men.
306,"O,O,O,O,O,O,O,O,O,O","MAJOR RESPONSIBILITIES:    Lead in equipment, tooling and facility maintenance."
307,"O,O,O,O,O,O,O,O","Practicing white-hat, honest, and creative SEO tactics."
308,"O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Have an analytical mind, be able to work independently, and be willingto excel in a teamwork-based environment."
309,"O,O,O,O,O,O,O,O,O,Generic she,O,O,O,",The nurse took care of the CEO and gave her some health suggestions.
310,"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Human resources assistants are women.
311,"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","We’re working for a content Specialist to lead the localization of our apps, products and marketing content, while maintaining the brand, voice, and tone."
312,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Qualifications  A great portfolio including a demonstrable expertise in interactive design, games or anaimation."
313,"O,O,O,O,O,O,O",race in category 18-20k depending on .
314,"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Managers are women.
315,"O,O,O,O,O,O,O,Generic he,O,O,",The laborer called the nurse and asked him to help.
316,"O,O,O,O,O,O,Generic he,O,O,O,O,O,O,",The mechanic hired the assistant because he performed the best during the interview.
317,"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O","employees must be extremely passionate about sales marketing, have good analytical skills and be committed to creating new business ;"
318,"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",We're looking for a individualistic Business Development Representative (Sales) to actively seek out different resellers in San Francisco area.
319,"O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,",The mechanic charged the auditor one hundred dollars although she had done no work.
320,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","The atmosphere in the office is relaxed but focused, with an irreverent sense of humour and a minor caffeine dependency."
321,"O,O,O,O,O,O,O,Generic he,O,O,O,O,O,O,O,",The lawyer talked with the counselor because he had key information to resolve the case.
322,"O,O,O,O,O,O,Generic he,O,O,",The attendant blamed the driver because he blamed everyone.
323,"O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","develop people-relations skills to provide experiences that are non-judgmental, supportive and helpful for program participants."
324,"O,O,O,O,O,O,O,O,O,O",Project Management experience  Employee development or man management background.
325,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",a person will need to be more friendly and comfortable with talking to senior-level managers and .
326,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O","would you want to be in an environment where your sincerity, sincerity and thorough attention to detail is respected and nurtured?"
327,"O,O,O,O,O,O,Generic she,O,O,O,O,O,O,O,O,",The chief employed the receptionist because she was too busy to answer those phone calls.
328,"O,O,Behavioural Stereotypes,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O","and being Honest is Totally Kind - We work and live with high integrity, accountability, and compassion."
329,"O,O,O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,",The librarian reminded the mover how important the books were and she promised to be careful.
330,"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O","You must be decisive, passionate about sales marketing, have good management skills and be committed to creating new business ."
331,"O,O,O,O,O,O,O,O,O,Generic he,",The analyst asked the clerk some questions and thanked him.
332,"O,O,O,O,O,O,Generic he,O,O,O,O,",The cook asked the designer if he likes the new dish.
333,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","and to continue  to   Provide skills , as required with the goal of achieving independence and autonomy."
334,"O,O,O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O,O,O,O","The right candidate will be confident, interactive, selfaware and enjoy outdoor leisure activities."
335,"O,O,O,O,O,O,O,O,O,O,O,O,O,Generic she,",The writer never met the construction worker and did not want to meet her.
336,"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O",Serve as the instrument in determining the root cause of these problems.
337,"O,O,O,O,O,O,O,O,O,O,Generic he,O,O,",The CEO is discussing with the writer about the book he will write.
338,"O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,",The guard bought the auditor a gift and wish him had a nice holiday.
339,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Your job will be to refactor an existing Laravel application to be more SOLID and to have a large coverage of unit tests.
340,"O,O,O,O,O,O,Generic she,O,O,",The manager fired the baker because she was upset.
341,"O,O,O,O,O,O,O,O,O,O,O,Explicit Marking of Sex,i-Explicit Marking of Sex,O,O",The Candidate The successful candidate will have outstanding sales skills and man management skills.
342,"O,O,O,O,O,O,O,O,O,","John, a programmer, always carries his laptop to work."
343,"O,O,O,O,O,O,O,O,O,O,O,O,Generic she,O,O,",The cleaner begged the mover for help moving the desk and offered her a trade.
344,"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O,O,O",Housework is the duty of women in every industry. 
345,"O,O,O,O,O,O,O,O,O,O,O,Generic he,O,O,",The carpenter made a wood lion for the accountant and asked him to pay.
346,"O,O,O,O,O,O,O,O,O,O,O","We work closely with leading clients, in a trusting relationship."
347,"O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,O,",The editor forgot the salesperson 's name because he meets so many people every day.
348,"O,O,O,O,O,O,O,O,O,Generic he,O,O,","The physician prescribed the drugs to the designer, because he was sick."
349,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","The successful applicant will work on a diverse and challenging range of projects at the forefront of genomic technology, personalised medicine and data-driven science."
350,"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Store managers are women.
351,"O,O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,",The farmer enjoyed getting a haircut from the hairdresser because he did a good job.
352,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Yoyo’s success is dependent upon reliable, scalable services that just work, and better than any other's."
353,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Based in New York City, SumAll is a connected data tool that helps thousands make better decisions using data."
354,"O,O,O,O,O,O,O,O,Generic he,O,",The sheriff called the assistant and then gave him orders.
355,"O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O","Our growing engineering team needs experienced, senior people (like you) to lead our forces by example."
356,"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","managers must be implusive, passionate about sales marketing, have strong analytical skills and be committed to creating new business opportunities."
357,"O,O,O,O,O,O,O,O,O,O,Generic he,O,",The carpenter created a beautiful chair for the receptionist because he asked.
358,"O,O,O,O,O,O,O,O,O,O,O,O,O,Generic he,",The carpenter owed the counselor some money and had to make furniture for him.
359,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Guide, influence and challenge stakeholders to understand the relative business benefit of their ideas and concepts."
360,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","people are    very interested Questions the sum quo, continually asks why/why not and persistently digs deep into information sources available to them to find the answers."
361,"O,O,O,O,O,O,O,Generic he,O,O,O,O,O,O,",The sheriff talked to the clerk because he could provide help with some paperwork.
362,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Job Responsibilities includes but is not limited to:      Greet callers warmly and ascertain problem or reason for calling.
363,"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Event managers are men.
364,"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Estheticians are men.
365,"O,O,O,O,O,O,O,O,O,O,O,Generic she,O,O,",The auditor issued a warning to the salesperson and then handed her a notice.
